"x1","x2","y"
"34.623659624517","78.024692815362","0"
"30.286710768226","43.894997524001","0"
"35.847408769939","72.902198027084","0"
"60.18259938621","86.308552095468","1"
"79.03273605071","75.34437643691","1"
"45.083277476683","56.31637178153","0"
"61.106664536848","96.511425884896","1"
"75.024745567389","46.554013541165","1"
"76.098786702263","87.420569719268","1"
"84.4328199612","43.533393310721","1"
"95.861555070936","38.225278057951","0"
"75.013658389582","30.60326323428","0"
"82.307053373995","76.481963302356","1"
"69.364588759709","97.718691961886","1"
"39.538339143672","76.036810851159","0"
"53.971052148562","89.207350137502","1"
"69.07014406283","52.740469730168","1"
"67.946855477116","46.678574106731","0"
"70.661509554994","92.927137893648","1"
"76.978783727475","47.575963649755","1"
"67.372027545709","42.838438320292","0"
"89.676775750721","65.799365927452","1"
"50.534788289883","48.855811527642","0"
"34.212060977868","44.209528598663","0"
"77.92409145457","68.972359993306","1"
"62.271013670046","69.954457954476","1"
"80.190180750957","44.821628932184","1"
"93.114388797442","38.800670337132","0"
"61.830206023126","50.256107892446","0"
"38.785803796794","64.995680955396","0"
"61.379289447425","72.807887313171","1"
"85.404519394116","57.051983976271","1"
"52.10797973194","63.127623768817","0"
"52.045404768318","69.432860120452","1"
"40.236893735451","71.167748021849","0"
"54.635105554248","52.213885880611","0"
"33.915500109069","98.869435742206","0"
"64.176988874945","80.908060586708","1"
"74.789252959415","41.573415228244","0"
"34.183640026442","75.237720336013","0"
"83.902393662492","56.308046216053","1"
"51.547720269062","46.8562902635","0"
"94.443367769178","65.568921605591","1"
"82.368753757139","40.618255159706","0"
"51.047751771289","45.82270145776","0"
"62.222675761202","52.060991948367","0"
"77.193034926014","70.45820000181","1"
"97.771599280002","86.727822330028","1"
"62.073063796676","96.76882412414","1"
"91.564974498074","88.696292545466","1"
"79.944817940669","74.163119350437","1"
"99.272526929257","60.99903099845","1"
"90.546714113999","43.3906018065","1"
"34.5245138532","60.396342458372","0"
"50.286496118991","49.804538813231","0"
"49.58667721632","59.808950994533","0"
"97.645633960078","68.861572724206","1"
"32.577200168093","95.598547613879","0"
"74.248691367216","69.824571226572","1"
"71.796462058634","78.45356224515","1"
"75.39561146568","85.759936673316","1"
"35.286112815262","47.020513947234","0"
"56.253817497116","39.26147251058","0"
"30.058822446698","49.592973867237","0"
"44.668261724809","66.450086145589","0"
"66.560894472429","41.09209807937","0"
"40.457550983752","97.535185489099","1"
"49.072563219088","51.88321182074","0"
"80.27957401467","92.116060813441","1"
"66.74671856944","60.99139402741","1"
"32.722833040603","43.307173064301","0"
"64.03932041506","78.031688020182","1"
"72.346494225799","96.227592967614","1"
"60.457885739189","73.09499809758","1"
"58.840956217268","75.85844831279","1"
"99.827857796921","72.369251933839","1"
"47.264269108482","88.475864995598","1"
"50.45815980286","75.809859529824","1"
"60.455556292715","42.508409435722","0"
"82.226661577856","42.719878537164","0"
"88.913896416653","69.803788898355","1"
"94.834506724302","45.694306802507","1"
"67.319257469175","66.589353177479","1"
"57.238706315699","59.51428198013","1"
"80.366756001713","90.960147897469","1"
"68.468521785911","85.59430710452","1"
"42.075454538473","78.84478600148","0"
"75.477702005339","90.42453899754","1"
"78.63542434898","96.647427168856","1"
"52.348003987941","60.769505256026","0"
"94.094331125168","77.159105090739","1"
"90.448550970964","87.508791764847","1"
"55.482161140696","35.570703472289","0"
"74.49269241843","84.845136849301","1"
"89.84580670721","45.358283610917","1"
"83.489162744982","48.380285797282","1"
"42.261700809982","87.103850940255","1"
"99.315008805104","68.775409472066","1"
"55.340017560037","64.931938006949","1"
"74.775893000928","89.529812895133","1"
